Pt (#),T (s),Vf (V),I_m (A),V_u (V),Pwr (W),Sig (V),Ach (V),Temp (degC),IE RG (#),Over (bits)
0,5,1.23495E+000,-2.00E+00,0.00000E+000,-2.47E+00,-2.00E+00,-1.88E-04,-3.28E+02,12,...h......a
1,10,1.21895E+000,-2.00E+00,0.00000E+000,-2.44E+00,-2.00E+00,-1.60E-04,-3.28E+02,12,..........a
2,15,1.21061E+000,-2.00E+00,0.00000E+000,-2.42E+00,-2.00E+00,-1.59E-04,-3.28E+02,12,..........a
3,20,1.20533E+000,-2.00E+00,0.00000E+000,-2.41E+00,-2.00E+00,-1.75E-04,-3.28E+02,12,..........a
4,25,1.20182E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-1.87E-04,-3.28E+02,12,..........a
5,30,1.19927E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-2.02E-04,-3.28E+02,12,..........a
6,35,1.19721E+000,-2.00E+00,0.00000E+000,-2.40E+00,-2.00E+00,-2.31E-04,-3.28E+02,12,..........a
7,40,1.19536E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-2.58E-04,-3.28E+02,12,..........a
8,45,1.19363E+000,-2.00E+00,0.00000E+000,-2.39E+00,-2.00E+00,-2.97E-04,-3.28E+02,12,..........a
9,50,1.19198E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-3.36E-04,-3.28E+02,12,..........a
10,55,1.19039E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-3.68E-04,-3.28E+02,12,..........a
11,60,1.18888E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-3.99E-04,-3.28E+02,12,..........a
12,65,1.18734E+000,-2.00E+00,0.00000E+000,-2.38E+00,-2.00E+00,-4.14E-04,-3.28E+02,12,..........a
13,70,1.18574E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-4.37E-04,-3.28E+02,12,..........a
14,75,1.18414E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-4.60E-04,-3.28E+02,12,..........a
15,80,1.18262E+000,-2.00E+00,0.00000E+000,-2.37E+00,-2.00E+00,-4.70E-04,-3.28E+02,12,..........a
16,85,1.18117E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-4.78E-04,-3.28E+02,12,..........a
17,90,1.17977E+000,-2.00E+00,0.00000E+000,-2.36E+00,-2.00E+00,-4.95E-04,-3.28E+02,12,..........a
